37	0
45	0
1	0
105	0
89	0
25	0
109	0
103	0
33	0
41	1
93	1
0	1
104	1
9	1
16	1
4	1
23	1
74	2
81	2
72	2
52	2
3	2
82	2
40	2
98	2
10	2
107	2
102	2
84	2
5	2
2	3
60	3
15	3
39	3
106	3
13	3
47	3
6	3
100	3
32	3
64	3
68	4
111	4
21	4
22	4
51	4
77	4
108	4
8	4
78	4
7	4
90	5
69	5
11	5
28	5
24	5
50	5
38	6
26	6
12	6
71	6
99	6
61	6
18	6
85	6
43	6
42	6
14	6
34	6
54	6
31	6
96	7
27	7
56	7
20	7
87	7
76	7
113	7
70	7
17	7
62	7
65	7
95	7
55	8
79	8
30	8
101	8
80	8
35	8
19	8
94	8
29	8
36	9
75	10
44	10
86	10
92	10
112	10
91	10
57	10
66	10
48	10
53	11
73	11
46	11
88	11
114	11
49	11
110	11
83	11
67	11
58	12
63	12
59	12
97	12
