1	0
0	1
3	2
2	3
4	0
0	4
5	4
4	5
5	3
3	5
6	2
2	6
7	6
6	7
8	7
7	8
9	8
8	9
9	0
0	9
9	4
4	9
10	5
5	10
11	10
10	11
11	5
5	11
11	3
3	11
13	12
12	13
13	2
2	13
14	2
2	14
14	12
12	14
15	14
14	15
15	13
13	15
15	2
2	15
16	4
4	16
16	9
9	16
16	0
0	16
17	16
16	17
17	12
12	17
18	12
12	18
19	18
18	19
20	17
17	20
21	20
20	21
21	8
8	21
21	7
7	21
22	9
9	22
22	7
7	22
22	21
21	22
22	8
8	22
23	22
22	23
23	9
9	23
23	4
4	23
23	16
16	23
23	0
0	23
24	11
11	24
25	24
24	25
25	1
1	25
26	3
3	26
26	12
12	26
26	14
14	26
27	26
26	27
27	17
17	27
27	1
1	27
27	17
17	27
28	4
4	28
28	11
11	28
28	24
24	28
29	19
19	29
30	29
29	30
30	19
19	30
31	18
18	31
32	31
31	32
32	21
21	32
32	15
15	32
32	13
13	32
32	6
6	32
33	0
0	33
33	1
1	33
33	25
25	33
33	19
19	33
34	31
31	34
34	26
26	34
34	12
12	34
34	18
18	34
35	34
34	35
35	0
0	35
35	29
29	35
35	19
19	35
35	30
30	35
36	18
18	36
36	12
12	36
36	20
20	36
36	19
19	36
37	36
36	37
37	1
1	37
37	25
25	37
37	33
33	37
38	18
18	38
38	16
16	38
38	28
28	38
38	26
26	38
38	14
14	38
38	12
12	38
39	38
38	39
39	6
6	39
39	32
32	39
39	13
13	39
39	15
15	39
40	7
7	40
40	3
3	40
41	40
40	41
41	8
8	41
41	4
4	41
41	23
23	41
41	9
9	41
41	0
0	41
41	16
16	41
42	34
34	42
42	29
29	42
42	18
18	42
42	26
26	42
43	42
42	43
43	36
36	43
43	26
26	43
43	31
31	43
43	38
38	43
43	12
12	43
43	14
14	43
44	19
19	44
44	35
35	44
44	30
30	44
45	44
44	45
45	13
13	45
45	33
33	45
45	1
1	45
45	37
37	45
45	25
25	45
