1	1
25	1
33	1
37	1
45	1
89	1
103	1
105	1
109	1
19	2
29	2
30	2
35	2
55	2
79	2
94	2
101	2
2	3
6	3
13	3
15	3
32	3
39	3
47	3
60	3
64	3
100	3
106	3
3	4
5	4
10	4
40	4
52	4
72	4
74	4
81	4
84	4
98	4
102	4
107	4
44	5
48	5
57	5
66	5
75	5
86	5
91	5
92	5
110	5
112	5
36	6
42	6
80	6
82	6
90	6
12	7
14	7
18	7
26	7
31	7
34	7
38	7
43	7
54	7
61	7
71	7
85	7
99	7
0	8
4	8
9	8
16	8
23	8
41	8
93	8
104	8
7	9
8	9
21	9
22	9
51	9
68	9
77	9
78	9
108	9
111	9
17	10
20	10
27	10
56	10
62	10
65	10
70	10
76	10
87	10
95	10
96	10
113	10
11	11
24	11
50	11
59	11
63	11
69	11
97	11
28	12
46	12
49	12
53	12
58	12
67	12
73	12
83	12
88	12
114	12
